,track_id,artist,raga,tradition,relative_part,audio_path,split
0,Abhishek_Raghuram.Nidhi_Chala_Sukhama,Abhishek_Raghuram,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Abhishek_Raghuram/December_Season_2008/Nidhi_Chala_Sukhama/Nidhi_Chala_Sukhama.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Abhishek_Raghuram\December_Season_2008\Nidhi_Chala_Sukhama\Nidhi_Chala_Sukhama.mp3,test
1,Abhishek_Raghuram.Isha_Paahimam,Abhishek_Raghuram,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Abhishek_Raghuram/Pravrddha_Sri_Lalgudi_Pancharatna_Kritis/Isha_Paahimam/Isha_Paahimam.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Abhishek_Raghuram\Pravrddha_Sri_Lalgudi_Pancharatna_Kritis\Isha_Paahimam\Isha_Paahimam.mp3,train
2,Sanjay_Subrahmanyan.Vanajakshi_-_Varnam,Sanjay_Subrahmanyan,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Vanajakshi_-_Varnam/Vanajakshi_-_Varnam.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Sanjay_Subrahmanyan\Sanjay_at_Sastri_Hall\Vanajakshi_-_Varnam\Vanajakshi_-_Varnam.mp3,val
3,Sanjay_Subrahmanyan.Paarengum,Sanjay_Subrahmanyan,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Sanjay_Subrahmanyan/Live_at_Vani_Mahal/Paarengum/Paarengum.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Sanjay_Subrahmanyan\Live_at_Vani_Mahal\Paarengum\Paarengum.mp3,test
4,Sanjay_Subrahmanyan.Ambarame_Tannire,Sanjay_Subrahmanyan,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Sanjay_Subrahmanyan/December_Season_2006/Ambarame_Tannire/Ambarame_Tannire.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Sanjay_Subrahmanyan\December_Season_2006\Ambarame_Tannire\Ambarame_Tannire.mp3,train
5,Amrutha_Venkatesh.Vanajakshiro,Amrutha_Venkatesh,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Amrutha_Venkatesh/December_Season_2009/Vanajakshiro/Vanajakshiro.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Amrutha_Venkatesh\December_Season_2009\Vanajakshiro\Vanajakshiro.mp3,train
6,Vijay_Siva.Abhayamba,Vijay_Siva,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Vijay_Siva/Madrasil_Margazhi_2006/Abhayamba/Abhayamba.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Vijay_Siva\Madrasil_Margazhi_2006\Abhayamba\Abhayamba.mp3,train
7,Sikkil_Gurucharan.Talli_Ninnu_Nera,Sikkil_Gurucharan,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Sikkil_Gurucharan/December_Season_2004/Talli_Ninnu_Nera/Talli_Ninnu_Nera.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Sikkil_Gurucharan\December_Season_2004\Talli_Ninnu_Nera\Talli_Ninnu_Nera.mp3,train
8,Modhumudi_Sudhakar.Sundari_Nee_Divya,Modhumudi_Sudhakar,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Modhumudi_Sudhakar/Modhumudi_Sudhakar_at_Arkay/Sundari_Nee_Divya/Sundari_Nee_Divya.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Modhumudi_Sudhakar\Modhumudi_Sudhakar_at_Arkay\Sundari_Nee_Divya\Sundari_Nee_Divya.mp3,train
9,Nisha_P_Rajagopal.Nidhi_Chala_Sukhama,Nisha_P_Rajagopal,Kalyāṇi,carnatic,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Nisha_P_Rajagopal/December_Season_2011/Nidhi_Chala_Sukhama/Nidhi_Chala_Sukhama.mp3,C:\Users\Sragv\MIR Carnatic raga identification\data\raw_audio\RagaDataset\Carnatic\audio\bf4662d4-25c3-4cad-9249-4de2dc513c06\Nisha_P_Rajagopal\December_Season_2011\Nidhi_Chala_Sukhama\Nidhi_Chala_Sukhama.mp3,train
